credit_id,customer_id,credit_state,reserved_date,consumed_date,id_request
C1004-37236,1004,consumed,2025-08-08,2025-09-01,REQ00251
C1004-37237,1004,consumed,2025-05-10,2025-06-03,REQ00275
C1004-37238,1004,consumed,2025-03-13,2025-04-02,REQ00275
C1004-37239,1004,consumed,2024-09-22,2024-10-09,REQ00275
C1004-37240,1004,consumed,2024-05-12,2024-06-01,REQ00275
C1004-37241,1004,consumed,2025-06-16,2025-07-10,REQ00275
C1004-37242,1004,consumed,2025-05-19,2025-06-14,REQ00251
C1004-37243,1004,consumed,2025-09-16,2025-09-24,REQ00275
C1004-37244,1004,consumed,2024-07-17,2024-07-18,REQ00251
C1004-37245,1004,consumed,2024-01-25,2024-02-09,REQ00251
C1004-37246,1004,consumed,2024-07-31,2024-08-26,REQ00275
C1004-37247,1004,consumed,2025-02-27,2025-03-01,REQ00275
C1004-37248,1004,consumed,2024-12-24,2025-01-11,REQ00251
C1004-37249,1004,consumed,2024-01-12,2024-02-02,REQ00251
C1004-37250,1004,consumed,2024-10-15,2024-10-24,REQ00251
C1004-37251,1004,consumed,2024-11-11,2024-11-21,REQ00275
C1004-37252,1004,consumed,2024-01-07,2024-01-11,REQ00275
C1004-37253,1004,consumed,2024-12-15,2024-12-28,REQ00251
C1004-37254,1004,consumed,2024-06-28,2024-07-05,REQ00275
C1005-98142,1005,consumed,2025-05-05,2025-06-04,REQ00184
C1005-98143,1005,consumed,2024-02-06,2024-02-27,REQ00086
C1005-98144,1005,consumed,2025-05-08,2025-05-13,REQ00433
C1005-98145,1005,consumed,2025-04-16,2025-05-15,REQ00467
C1005-98146,1005,consumed,2025-07-03,2025-08-01,REQ00159
C1005-98147,1005,consumed,2025-04-18,2025-05-14,REQ00467
C1005-98148,1005,consumed,2025-02-27,2025-03-29,REQ00433
C1005-98149,1005,consumed,2024-02-27,2024-03-25,REQ00402
C1005-98150,1005,consumed,2024-11-02,2024-11-21,REQ00433
C1005-98151,1005,consumed,2024-11-19,2024-12-07,REQ00402
C1005-98152,1005,consumed,2024-01-20,2024-01-27,REQ00402
C1005-98153,1005,consumed,2024-12-05,2024-12-31,REQ00467
C1005-98154,1005,consumed,2024-12-28,2024-12-31,REQ00086
C1005-98155,1005,consumed,2024-10-14,2024-11-10,REQ00018
C1005-98156,1005,consumed,2024-12-13,2024-12-26,REQ00433
C1005-98157,1005,consumed,2025-07-01,2025-07-28,REQ00086
C1005-98158,1005,consumed,2025-08-07,2025-08-27,REQ00184
C1005-98159,1005,consumed,2024-07-10,2024-07-30,REQ00018
C1005-98160,1005,consumed,2024-11-11,2024-12-04,REQ00467
C1005-98161,1005,consumed,2024-11-18,2024-12-11,REQ00018
C1005-98162,1005,consumed,2024-10-05,2024-10-19,REQ00018
C1005-98163,1005,consumed,2025-05-23,2025-06-21,REQ00086
C1005-98164,1005,consumed,2025-01-15,2025-01-30,REQ00467
C1005-98165,1005,consumed,2024-11-05,2024-11-12,REQ00402
C1005-98166,1005,consumed,2024-11-05,2024-11-11,REQ00018
C1005-98167,1005,consumed,2025-01-18,2025-02-13,REQ00018
C1006-22137,1006,available,,,
C1006-22138,1006,available,,,
C1006-22139,1006,available,,,
C1006-22140,1006,available,,,
C1006-22141,1006,available,,,
C1006-22142,1006,available,,,
C1006-22143,1006,available,,,
C1006-22144,1006,available,,,
C1006-22145,1006,available,,,
C1006-22146,1006,available,,,
C1006-22147,1006,available,,,
C1006-22148,1006,available,,,
C1006-22149,1006,available,,,
C1006-22150,1006,available,,,
C1006-22151,1006,available,,,
C1006-22152,1006,available,,,
C1006-22153,1006,available,,,
C1007-76321,1007,available,,,
C1007-76322,1007,available,,,
C1007-76323,1007,available,,,
C1007-76324,1007,available,,,
C1007-76325,1007,available,,,
C1007-76326,1007,available,,,
C1007-76327,1007,available,,,
C1007-76328,1007,available,,,
C1007-76329,1007,available,,,
C1007-76330,1007,available,,,
C1007-76331,1007,available,,,
C1007-76332,1007,available,,,
C1007-76333,1007,available,,,
C1007-76334,1007,consumed,2024-01-26,2024-02-21,REQ00287
C1007-76335,1007,consumed,2025-05-27,2025-06-01,REQ00122
C1007-76336,1007,consumed,2024-12-14,2025-01-13,REQ00287
C1007-76337,1007,consumed,2025-06-20,2025-06-30,REQ00287
C1007-76338,1007,consumed,2024-05-26,2024-06-20,REQ00122
C1007-76339,1007,consumed,2025-06-12,2025-07-04,REQ00122
C1007-76340,1007,consumed,2024-07-29,2024-08-22,REQ00122
C1007-76341,1007,consumed,2025-04-15,2025-04-28,REQ00122
C1007-76342,1007,consumed,2024-01-05,2024-01-15,REQ00122
C1007-76343,1007,consumed,2025-08-31,2025-09-28,REQ00122
C1007-76344,1007,consumed,2024-12-07,2024-12-22,REQ00122
C1007-76345,1007,consumed,2024-04-15,2024-05-02,REQ00287
C1007-76346,1007,consumed,2024-01-24,2024-02-12,REQ00287
C1007-76347,1007,consumed,2024-08-02,2024-08-13,REQ00122
C1007-76348,1007,consumed,2024-07-16,2024-07-26,REQ00287
C1007-76349,1007,consumed,2025-06-29,2025-07-10,REQ00287
C1007-76350,1007,consumed,2024-04-30,2024-05-09,REQ00122
C1007-76351,1007,consumed,2024-06-10,2024-06-19,REQ00122
C1007-76352,1007,consumed,2024-01-16,2024-02-05,REQ00122
C1007-76353,1007,consumed,2024-07-30,2024-08-17,REQ00287
C1008-51744,1008,available,,,
C1008-51745,1008,available,,,
C1008-51746,1008,available,,,
C1008-51747,1008,available,,,
C1008-51748,1008,available,,,
C1008-51749,1008,available,,,
C1008-51750,1008,available,,,
C1008-51751,1008,available,,,
C1008-51752,1008,reserved,2024-10-04,,REQ00100
C1008-51753,1008,reserved,2024-10-17,,REQ00486
C1008-51754,1008,reserved,2024-09-07,,REQ00100
C1008-51755,1008,reserved,2024-03-13,,REQ00290
C1008-51756,1008,reserved,2025-09-19,,REQ00290
C1008-51757,1008,reserved,2025-07-07,,REQ00290
C1008-51758,1008,reserved,2024-02-21,,REQ00100
C1008-51759,1008,reserved,2024-01-30,,REQ00290
C1008-51760,1008,reserved,2024-02-21,,REQ00100
C1008-51761,1008,reserved,2025-01-27,,REQ00100
C1008-51762,1008,reserved,2024-03-29,,REQ00290
C1008-51763,1008,reserved,2025-02-05,,REQ00100
C1008-51764,1008,reserved,2025-09-02,,REQ00486
C1008-51765,1008,reserved,2025-10-06,,REQ00486
C1008-51766,1008,consumed,2025-04-01,2025-04-21,REQ00290
C1008-51767,1008,consumed,2024-11-15,2024-11-26,REQ00100
C1008-51768,1008,consumed,2025-06-30,2025-07-03,REQ00290
C1008-51769,1008,consumed,2025-08-04,2025-08-09,REQ00100
C1008-51770,1008,consumed,2025-04-24,2025-04-28,REQ00290
C1008-51771,1008,consumed,2024-11-13,2024-12-05,REQ00486
C1008-51772,1008,consumed,2025-04-21,2025-05-07,REQ00100
C1008-51773,1008,consumed,2024-08-17,2024-08-22,REQ00486
C1008-51774,1008,consumed,2024-09-21,2024-10-21,REQ00290
C1008-51775,1008,consumed,2025-02-05,2025-02-11,REQ00486
C1008-51776,1008,consumed,2024-12-04,2024-12-30,REQ00290
C1008-51777,1008,consumed,2025-04-09,2025-04-25,REQ00100
C1008-51778,1008,consumed,2024-03-07,2024-03-23,REQ00100
C1008-51779,1008,consumed,2024-12-25,2025-01-10,REQ00290
C1008-51780,1008,consumed,2024-06-23,2024-07-03,REQ00290
C1008-51781,1008,consumed,2025-09-10,2025-09-29,REQ00100
C1008-51782,1008,consumed,2025-06-04,2025-06-08,REQ00290
C1008-51783,1008,consumed,2024-04-19,2024-04-30,REQ00486
C1009-49599,1009,available,,,
C1009-49600,1009,consumed,2025-06-29,2025-07-14,REQ00358
C1009-49601,1009,consumed,2025-08-27,2025-09-10,REQ00026
C1009-49602,1009,consumed,2025-09-27,2025-10-05,REQ00026
C1009-49603,1009,consumed,2025-05-08,2025-05-21,REQ00026
C1009-49604,1009,consumed,2024-12-14,2024-12-21,REQ00358
C1009-49605,1009,consumed,2025-03-21,2025-04-09,REQ00358
C1009-49606,1009,consumed,2025-07-11,2025-08-03,REQ00026
C1009-49607,1009,consumed,2024-06-26,2024-07-18,REQ00026
C1010-24984,1010,consumed,2025-08-29,2025-09-18,REQ00330
C1010-24985,1010,consumed,2024-11-29,2024-12-17,REQ00003
C1010-24986,1010,consumed,2025-03-31,2025-04-06,REQ00139
C1010-24987,1010,consumed,2025-02-19,2025-02-22,REQ00475
C1010-24988,1010,consumed,2024-04-21,2024-05-13,REQ00475
C1010-24989,1010,consumed,2025-01-23,2025-02-03,REQ00330
C1010-24990,1010,consumed,2024-03-03,2024-03-06,REQ00053
C1010-24991,1010,consumed,2024-05-22,2024-06-20,REQ00475
C1010-24992,1010,consumed,2024-01-01,2024-01-26,REQ00053
C1010-24993,1010,consumed,2024-06-01,2024-06-16,REQ00475
C1010-24994,1010,consumed,2024-10-25,2024-11-07,REQ00475
C1010-24995,1010,consumed,2025-08-14,2025-08-29,REQ00053
C1010-24996,1010,consumed,2024-07-29,2024-08-20,REQ00139
C1010-24997,1010,consumed,2024-11-02,2024-11-21,REQ00139
C1010-24998,1010,consumed,2025-03-21,2025-04-13,REQ00139
C1010-24999,1010,consumed,2024-04-01,2024-04-20,REQ00003
C1010-25000,1010,consumed,2025-09-18,2025-10-05,REQ00330
C1010-25001,1010,consumed,2024-05-10,2024-06-07,REQ00139
C1010-25002,1010,consumed,2024-03-04,2024-03-16,REQ00475
C1010-25003,1010,consumed,2024-02-24,2024-02-25,REQ00475
C1010-25004,1010,consumed,2025-01-02,2025-01-06,REQ00139
C1010-25005,1010,consumed,2024-02-01,2024-02-09,REQ00330
C1010-25006,1010,consumed,2025-08-27,2025-09-09,REQ00139
C1010-25007,1010,consumed,2025-01-26,2025-02-08,REQ00330
C1010-25008,1010,consumed,2025-03-21,2025-04-08,REQ00053
C1010-25009,1010,consumed,2024-06-26,2024-07-12,REQ00053
C1010-25010,1010,consumed,2024-07-11,2024-07-29,REQ00330
C1010-25011,1010,consumed,2025-01-03,2025-01-30,REQ00330
C1010-25012,1010,consumed,2024-06-06,2024-06-16,REQ00053
C1010-25013,1010,consumed,2024-05-17,2024-05-18,REQ00003
C1010-25014,1010,consumed,2024-01-17,2024-01-22,REQ00330
C1010-25015,1010,consumed,2025-03-23,2025-03-28,REQ00003
C1010-25016,1010,consumed,2024-05-20,2024-06-10,REQ00330
C1010-25017,1010,consumed,2025-04-11,2025-05-10,REQ00475
C1010-25018,1010,consumed,2025-03-11,2025-03-31,REQ00053
C1010-25019,1010,consumed,2025-04-10,2025-04-27,REQ00330
C1011-68988,1011,available,,,
C1011-68989,1011,available,,,
C1011-68990,1011,available,,,
C1011-68991,1011,available,,,
C1011-68992,1011,available,,,
C1011-68993,1011,available,,,
C1011-68994,1011,available,,,
C1011-68995,1011,available,,,
C1011-68996,1011,available,,,
C1011-68997,1011,available,,,
C1011-68998,1011,available,,,
C1011-68999,1011,available,,,
C1011-69000,1011,available,,,
C1011-69001,1011,available,,,
C1011-69002,1011,available,,,
C1011-69003,1011,available,,,
C1011-69004,1011,available,,,
C1011-69005,1011,available,,,
C1011-69006,1011,available,,,
C1011-69007,1011,available,,,
C1011-69008,1011,available,,,
C1011-69009,1011,available,,,
C1011-69010,1011,available,,,
C1011-69011,1011,available,,,
C1011-69012,1011,available,,,
C1011-69013,1011,available,,,
C1011-69014,1011,available,,,
C1011-69015,1011,available,,,
C1011-69016,1011,available,,,
C1011-69017,1011,available,,,
C1011-69018,1011,available,,,
C1011-69019,1011,available,,,
C1011-69020,1011,available,,,
C1011-69021,1011,available,,,
C1011-69022,1011,available,,,
C1011-69023,1011,available,,,
C1011-69024,1011,available,,,
C1011-69025,1011,available,,,
C1011-69026,1011,available,,,
C1011-69027,1011,available,,,
C1012-56570,1012,available,,,
C1012-56571,1012,available,,,
C1012-56572,1012,available,,,
C1012-56573,1012,available,,,
C1012-56574,1012,available,,,
C1012-56575,1012,available,,,
C1012-56576,1012,available,,,
C1012-56577,1012,available,,,
C1012-56578,1012,available,,,
C1012-56579,1012,available,,,
C1012-56580,1012,available,,,
C1012-56581,1012,available,,,
C1012-56582,1012,consumed,2024-08-19,2024-08-25,REQ00237
C1012-56583,1012,consumed,2025-09-11,2025-09-12,REQ00449
C1012-56584,1012,consumed,2025-05-25,2025-06-22,REQ00449
C1012-56585,1012,consumed,2024-08-30,2024-09-22,REQ00449
C1012-56586,1012,consumed,2024-10-02,2024-10-16,REQ00449
C1012-56587,1012,consumed,2025-08-13,2025-08-25,REQ00174
C1012-56588,1012,consumed,2024-02-08,2024-02-27,REQ00237
C1012-56589,1012,consumed,2025-01-12,2025-01-16,REQ00449
C1012-56590,1012,consumed,2025-05-08,2025-05-31,REQ00174
C1012-56591,1012,consumed,2024-05-25,2024-06-18,REQ00449
C1012-56592,1012,consumed,2025-06-23,2025-07-21,REQ00237
C1012-56593,1012,consumed,2025-04-21,2025-05-08,REQ00174
C1012-56594,1012,consumed,2025-06-19,2025-07-18,REQ00449
C1012-56595,1012,consumed,2024-03-31,2024-04-08,REQ00237
C1012-56596,1012,consumed,2024-03-20,2024-04-11,REQ00449
C1012-56597,1012,consumed,2025-07-06,2025-08-01,REQ00449
C1012-56598,1012,consumed,2024-11-15,2024-12-05,REQ00174
C1013-80127,1013,available,,,
C1013-80128,1013,available,,,
C1013-80129,1013,available,,,
C1013-80130,1013,available,,,
C1013-80131,1013,available,,,
C1013-80132,1013,reserved,2024-01-12,,REQ00273
C1013-80133,1013,reserved,2025-04-09,,REQ00335
C1013-80134,1013,reserved,2025-04-25,,REQ00335
C1013-80135,1013,reserved,2024-12-05,,REQ00273
C1013-80136,1013,reserved,2024-12-27,,REQ00417
C1013-80137,1013,reserved,2024-10-28,,REQ00272
C1013-80138,1013,reserved,2024-06-20,,REQ00108
C1013-80139,1013,reserved,2025-09-03,,REQ00368
C1013-80140,1013,reserved,2024-11-07,,REQ00368
C1013-80141,1013,consumed,2025-07-31,2025-08-09,REQ00108
C1013-80142,1013,consumed,2025-04-29,2025-05-18,REQ00130
C1013-80143,1013,consumed,2025-08-09,2025-08-11,REQ00368
C1013-80144,1013,consumed,2024-10-25,2024-11-20,REQ00368
C1013-80145,1013,consumed,2025-10-01,2025-10-02,REQ00272
C1013-80146,1013,consumed,2025-05-11,2025-05-14,REQ00130
C1013-80147,1013,consumed,2025-06-01,2025-06-04,REQ00417
C1013-80148,1013,consumed,2024-10-11,2024-10-20,REQ00130
C1013-80149,1013,consumed,2025-09-22,2025-10-01,REQ00272
C1013-80150,1013,consumed,2024-09-20,2024-09-21,REQ00368
C1013-80151,1013,consumed,2024-04-24,2024-05-14,REQ00130
C1013-80152,1013,consumed,2025-08-28,2025-09-21,REQ00130
C1014-58466,1014,available,,,
C1014-58467,1014,available,,,
C1014-58468,1014,available,,,
C1014-58469,1014,consumed,2024-06-28,2024-07-07,REQ00498
C1014-58470,1014,consumed,2024-08-29,2024-09-14,REQ00336
C1014-58471,1014,consumed,2025-06-24,2025-07-22,REQ00047
C1014-58472,1014,consumed,2024-12-17,2024-12-20,REQ00336
C1014-58473,1014,consumed,2025-09-01,2025-10-01,REQ00336
C1014-58474,1014,consumed,2025-05-22,2025-06-16,REQ00413
C1014-58475,1014,consumed,2025-01-27,2025-02-04,REQ00498
C1014-58476,1014,consumed,2025-03-26,2025-04-19,REQ00498
C1014-58477,1014,consumed,2024-06-20,2024-06-27,REQ00457
C1014-58478,1014,consumed,2024-12-19,2024-12-21,REQ00498
C1014-58479,1014,consumed,2024-09-27,2024-10-22,REQ00047
C1014-58480,1014,consumed,2024-02-23,2024-02-29,REQ00413
C1014-58481,1014,consumed,2025-02-12,2025-02-28,REQ00388
C1014-58482,1014,consumed,2025-05-02,2025-05-26,REQ00457
C1014-58483,1014,consumed,2024-08-27,2024-09-09,REQ00498
C1014-58484,1014,consumed,2025-02-03,2025-02-19,REQ00388
C1014-58485,1014,consumed,2024-05-28,2024-06-14,REQ00413
C1014-58486,1014,consumed,2024-01-13,2024-01-23,REQ00413
C1014-58487,1014,consumed,2025-01-26,2025-02-17,REQ00388
C1014-58488,1014,consumed,2025-06-26,2025-07-18,REQ00047
C1014-58489,1014,consumed,2024-04-09,2024-05-09,REQ00457
C1014-58490,1014,consumed,2024-12-28,2025-01-25,REQ00413
C1014-58491,1014,consumed,2025-09-17,2025-10-17,REQ00498
C1014-58492,1014,consumed,2024-10-06,2024-10-17,REQ00388
C1014-58493,1014,consumed,2024-09-30,2024-10-26,REQ00047
C1014-58494,1014,consumed,2024-09-18,2024-10-09,REQ00457
C1014-58495,1014,consumed,2025-02-04,2025-02-19,REQ00498
C1014-58496,1014,consumed,2024-09-04,2024-09-28,REQ00498
C1014-58497,1014,consumed,2025-08-25,2025-09-19,REQ00336
C1014-58498,1014,consumed,2025-06-16,2025-06-27,REQ00498
C1015-51060,1015,consumed,2025-07-14,2025-07-15,
C1015-51061,1015,consumed,2024-01-09,2024-02-05,
C1015-51062,1015,consumed,2024-03-10,2024-03-11,
C1015-51063,1015,consumed,2025-02-25,2025-03-01,
C1015-51064,1015,consumed,2025-06-21,2025-06-25,
C1015-51065,1015,consumed,2025-04-01,2025-04-13,
C1015-51066,1015,consumed,2024-08-12,2024-09-05,
C1015-51067,1015,consumed,2024-10-17,2024-10-26,
C1015-51068,1015,consumed,2024-07-16,2024-07-18,
C1015-51069,1015,consumed,2024-01-25,2024-02-14,
C1015-51070,1015,consumed,2024-04-04,2024-04-06,
C1015-51071,1015,consumed,2025-08-31,2025-09-22,
C1015-51072,1015,consumed,2024-08-10,2024-08-30,
C1015-51073,1015,consumed,2024-05-04,2024-05-27,
C1015-51074,1015,consumed,2024-05-02,2024-05-05,
C1015-51075,1015,consumed,2025-09-11,2025-09-16,
C1016-96034,1016,available,,,
C1016-96035,1016,available,,,
C1016-96036,1016,available,,,
C1016-96037,1016,available,,,
C1016-96038,1016,available,,,
C1016-96039,1016,available,,,
C1016-96040,1016,available,,,
C1016-96041,1016,available,,,
C1016-96042,1016,available,,,
C1016-96043,1016,available,,,
C1016-96044,1016,available,,,
C1016-96045,1016,available,,,
C1016-96046,1016,available,,,
C1016-96047,1016,available,,,
C1016-96048,1016,available,,,
C1016-96049,1016,available,,,
C1016-96050,1016,available,,,
C1016-96051,1016,available,,,
C1016-96052,1016,available,,,
C1016-96053,1016,available,,,
C1016-96054,1016,available,,,
C1016-96055,1016,available,,,
C1016-96056,1016,available,,,
C1016-96057,1016,available,,,
C1016-96058,1016,available,,,
C1016-96059,1016,available,,,
C1016-96060,1016,available,,,
C1016-96061,1016,available,,,
C1016-96062,1016,available,,,
C1017-24528,1017,available,,,
C1017-24529,1017,available,,,
C1017-24530,1017,available,,,
C1017-24531,1017,available,,,
C1017-24532,1017,available,,,
C1017-24533,1017,available,,,
C1017-24534,1017,consumed,2024-07-07,2024-07-16,REQ00101
C1017-24535,1017,consumed,2025-04-23,2025-05-15,REQ00029
C1017-24536,1017,consumed,2025-04-09,2025-05-09,REQ00101
C1017-24537,1017,consumed,2025-03-13,2025-04-05,REQ00101
C1017-24538,1017,consumed,2024-09-20,2024-09-26,REQ00029
C1017-24539,1017,consumed,2024-10-10,2024-11-04,REQ00029
C1017-24540,1017,consumed,2025-01-26,2025-02-08,REQ00101
C1017-24541,1017,consumed,2024-03-02,2024-03-11,REQ00101
C1017-24542,1017,consumed,2024-07-01,2024-07-16,REQ00029
C1017-24543,1017,consumed,2025-05-18,2025-06-17,REQ00093
C1018-33388,1018,available,,,
C1018-33389,1018,available,,,
C1018-33390,1018,available,,,
C1018-33391,1018,available,,,
C1018-33392,1018,available,,,
C1018-33393,1018,available,,,
C1018-33394,1018,reserved,2025-10-22,,REQ00106
C1018-33395,1018,reserved,2024-04-21,,REQ00078
C1018-33396,1018,reserved,2025-07-07,,REQ00106
C1018-33397,1018,reserved,2024-08-11,,REQ00205
C1018-33398,1018,reserved,2025-10-20,,REQ00062
C1018-33399,1018,reserved,2025-03-28,,REQ00229
C1018-33400,1018,reserved,2024-09-22,,REQ00062
C1018-33401,1018,reserved,2024-02-05,,REQ00062
C1018-33402,1018,reserved,2024-03-13,,REQ00205
C1018-33403,1018,reserved,2024-09-13,,REQ00106
C1018-33404,1018,consumed,2024-01-20,2024-02-18,REQ00106
C1018-33405,1018,consumed,2024-06-01,2024-06-22,REQ00229
C1018-33406,1018,consumed,2024-01-01,2024-01-31,REQ00062
C1018-33407,1018,consumed,2025-02-03,2025-02-12,REQ00078
C1018-33408,1018,consumed,2024-12-03,2025-01-01,REQ00106
C1018-33409,1018,consumed,2025-08-11,2025-08-12,REQ00205
C1018-33410,1018,consumed,2025-05-17,2025-06-02,REQ00106
C1018-33411,1018,consumed,2025-02-17,2025-03-17,REQ00229
C1018-33412,1018,consumed,2024-03-12,2024-03-30,REQ00078
C1018-33413,1018,consumed,2024-01-04,2024-01-17,REQ00229
C1018-33414,1018,consumed,2025-05-08,2025-05-12,REQ00205
C1018-33415,1018,consumed,2025-07-02,2025-08-01,REQ00091
C1018-33416,1018,consumed,2024-12-07,2024-12-29,REQ00091
C1018-33417,1018,consumed,2025-02-14,2025-02-16,REQ00229
C1019-57887,1019,available,,,
C1019-57888,1019,consumed,2025-07-01,2025-07-29,REQ00364
C1019-57889,1019,consumed,2024-03-23,2024-04-19,REQ00364
C1019-57890,1019,consumed,2024-10-23,2024-11-13,REQ00364
C1019-57891,1019,consumed,2024-06-29,2024-07-17,REQ00364
C1019-57892,1019,consumed,2025-01-28,2025-02-19,REQ00364
C1019-57893,1019,consumed,2024-11-02,2024-11-25,REQ00364
C1019-57894,1019,consumed,2024-04-19,2024-05-10,REQ00364
C1019-57895,1019,consumed,2025-05-13,2025-05-16,REQ00364
C1019-57896,1019,consumed,2024-07-13,2024-07-18,REQ00364
C1020-13324,1020,consumed,2025-08-30,2025-09-07,REQ00160
C1020-13325,1020,consumed,2025-02-02,2025-02-05,REQ00160
C1020-13326,1020,consumed,2025-05-26,2025-06-13,REQ00160
C1020-13327,1020,consumed,2024-01-17,2024-01-19,REQ00160
C1020-13328,1020,consumed,2024-02-27,2024-03-09,REQ00157
C1020-13329,1020,consumed,2025-02-19,2025-02-23,REQ00157
C1020-13330,1020,consumed,2025-06-19,2025-07-04,REQ00157
C1020-13331,1020,consumed,2025-08-16,2025-08-24,REQ00157
C1020-13332,1020,consumed,2024-02-07,2024-03-02,REQ00157
C1020-13333,1020,consumed,2025-05-15,2025-06-05,REQ00157
C1020-13334,1020,consumed,2025-04-27,2025-05-27,REQ00157
C1020-13335,1020,consumed,2024-09-05,2024-09-28,REQ00157
C1020-13336,1020,consumed,2024-01-15,2024-01-21,REQ00157
C1020-13337,1020,consumed,2024-11-10,2024-12-07,REQ00157
C1020-13338,1020,consumed,2025-04-12,2025-05-02,REQ00157
C1020-13339,1020,consumed,2025-08-28,2025-08-31,REQ00157
C1020-13340,1020,consumed,2024-04-26,2024-05-12,REQ00157
C1021-36560,1021,available,,,
C1021-36561,1021,available,,,
C1021-36562,1021,available,,,
